,지역,호텔
0,서울,신라스테이 광화문
1,서울,신라스테이 역삼
2,서울,글래드 여의도
3,서울,글래드 강남 코엑스센터
4,서울,신라스테이 서대문
5,서울,신라스테이 서초
6,서울,나인트리 프리미어 호텔 인사동
7,서울,나인트리 프리미어 호텔 명동 2
8,서울,글래드 마포
9,서울,L7 강남 바이 롯데
10,서울,오라카이 청계산 호텔
11,서울,시그니엘 서울
12,서울,신라스테이 삼성
13,서울,인터컨티넨탈 서울 코엑스
14,서울,롯데시티호텔 명동
15,서울,호텔 안테룸 서울
16,서울,호텔 스카이파크 킹스타운 동대문
17,서울,신라스테이 마포
18,서울,라마다 서울 호텔
19,서울,서울가든호텔
20,서울,서울 신라 호텔
21,서울,롯데시티호텔 구로
22,서울,신라스테이 구로
23,서울,오라카이 대학로 호텔
24,서울,나인트리 호텔 동대문
25,서울,라마다 서울 신도림
26,서울,티마크 그랜드 호텔 명동
27,서울,페어필드 바이 메리어트 서울
28,서울,호텔 리베라 서울
29,서울,노보텔 앰배서더 서울 용산
30,서울,그랜드 인터컨티넨탈 서울 파르나스
31,서울,쉐라톤 서울 디큐브시티 호텔
32,서울,오클라우드 호텔
33,서울,롯데 호텔 월드
34,서울,라마다 앙코르 서울 마곡
35,서울,그랜드 하얏트 서울
36,서울,임피리얼 팰리스 서울
37,서울,몬드리안 서울 이태원
38,서울,L7 홍대 바이 롯데
39,서울,메이필드 호텔 서울
40,서울,호텔 더 디자이너스 서울역점
41,서울,콘래드 서울 호텔
42,서울,롯데시티호텔 마포
43,서울,호텔 루체브릿지
44,서울,오라카이 인사동 스위트
45,서울,아리랑힐 호텔 동대문
46,서울,도미인 서울 강남
47,서울,레스케이프 호텔
48,서울,스탠포드 호텔 서울
49,서울,롯데시티호텔 김포공항
50,서울,PJ 호텔 명동 (피제이 호텔)
51,서울,"그랜드 워커힐 서울 (구, 쉐라톤 그랜드 워커힐 서울)"
52,서울,노보텔 스위트 앰배서더 서울 용산
53,서울,라이즈 오토그래프 컬렉션 바이 메리어트
54,서울,홀리데이 인 익스프레스 서울 홍대
55,서울,로사나 부띠끄 비즈니스 호텔
56,서울,호텔 인 9 강남
57,서울,호텔 파크하비오
58,서울,호텔 페이토 삼성
59,서울,로얄스퀘어호텔 서울
60,서울,서머셋 팰리스 서울
61,서울,코리아나 호텔
62,서울,오크우드 프리미어 코엑스센터
63,서울,노보텔 앰배서더 서울 동대문
64,서울,호텔 엠펠리체
65,서울,프리마 호텔 서울
66,서울,글래드 라이브 강남
67,서울,호텔 포레힐
68,서울,토요코인 서울강남점
69,서울,웨스틴 조선 서울
70,서울,스타즈 호텔 독산점
71,서울,"비스타 워커힐 서울 (구, W 서울 워커힐)"
72,서울,호텔 뉴브
73,서울,L7 명동 바이 롯데
74,서울,호텔 페이토 강남
75,서울,호텔 더 디자이너스 리즈 강남 프리미어
76,서울,딜라이트 호텔
77,서울,머큐어 앰배서더 서울 홍대
78,서울,머큐어 서울 앰배서더 강남 쏘도베
79,서울,어반 플레이스 강남
80,서울,포포인츠 바이 쉐라톤 서울 명동
81,서울,켄싱턴 호텔 여의도
82,서울,밀레니엄 힐튼 서울
83,서울,리버사이드 호텔 서울
84,서울,포포인츠 바이 쉐라톤 서울역
85,서울,메이플레이스 서울 동대문
86,서울,Ena스위트호텔
87,서울,롯데 호텔 서울
88,서울,포포인츠 바이 쉐라톤 서울 구로
89,서울,코트야드 바이 메리어트 서울 타임스퀘어
90,서울,스테이 호텔 강남
91,서울,더파크호텔 서울
92,서울,나인트리 호텔 명동
93,서울,서울 해밀톤 호텔
94,서울,포시즌스 호텔 서울
95,서울,JW 메리어트 호텔 서울
96,서울,호텔 엔트라
97,서울,파크 하얏트 서울
98,서울,임피리얼 팰리스 부티크 호텔
99,서울,호텔 그레이스리 서울
100,서울,코트야드 바이 메리어트 서울 보타닉 파크
101,서울,호텔 유리앤
102,서울,더 리센츠 프리미엄 강남 가로수길 호텔
103,서울,토요코인 서울영등포점
104,서울,인터시티 서울 호텔
105,서울,아벤트리 호텔 종로
106,서울,노보텔 앰배서더 서울 강남
107,서울,호텔 삼정
108,서울,그랜드 머큐어 앰배서더 호텔 앤 레지던스 서울 용산
109,서울,보리 호텔
110,서울,"더 플라자 서울, 오토그래프 컬렉션"
111,서울,호텔 더 디자이너스 홍대
112,서울,호텔 더 디자이너스 청량리
113,서울,호텔 해담채 가산
114,서울,바비엥 스위트 레지던스 2
115,서울,이태원 크라운 호텔
116,서울,포포인츠 바이 쉐라톤 서울 강남
117,서울,호텔 Gms
118,서울,라마다 호텔 & 스위트 서울 남대문
119,서울,에이든 바이 베스트웨스턴 청담
120,서울,JW 메리어트 동대문스퀘어 서울
121,서울,스위스 그랜드 호텔
122,서울,마누 호텔 명동
123,서울,스탠다드 호텔
124,서울,프레이저 플레이스 센트럴 서울
125,서울,코트야드 메리어트 서울 남대문
126,서울,여의도 엠 호텔
127,서울,호텔 카푸치노
128,서울,Jk블라썸
129,서울,파로스 호텔
130,서울,더케이호텔서울
131,서울,WD 호텔
132,서울,스타즈 호텔 명동 1호점
133,서울,아만티호텔 서울
134,서울,호텔 더 디자이너스 동대문
135,서울,안다즈 서울 강남
136,서울,SR 호텔
137,서울,글루호텔
138,서울,메리골드 호텔
139,서울,아르누보 호텔 역삼
140,서울,에이치에비뉴 호텔 이대
141,서울,메리어트 이그제큐티브 아파트먼트 서울
142,서울,피터캣호텔
143,서울,페어몬트 앰배서더 서울
144,서울,알로프트 서울 강남
145,서울,아르누보 호텔 서초
146,서울,트레블로지 명동 을지로
147,서울,이비스 스타일 앰배서더 서울 강남
148,서울,리안 호텔
149,서울,호텔토마스명동
150,서울,나인브릭호텔
151,서울,세종 호텔
152,서울,아르누보 호텔 강남 씨티
153,서울,골드리버호텔
154,서울,호텔 드씨엘
155,서울,에이치에비뉴 호텔 성신여대
156,서울,롯데 호텔 서울 이그제큐티브 타워
157,서울,서울앤호텔 동대문
158,서울,에이치에비뉴 호텔 건대 성수
159,서울,동서울 관광호텔
160,서울,뉴서울 호텔
161,서울,호텔 포코
162,서울,호텔 선샤인 서울
163,서울,프레지던트 호텔
164,서울,오리엔스 호텔 앤 레지던스
165,서울,호텔 로프트
166,서울,퍼시픽 호텔
167,서울,소설 호텔
168,서울,이비스 앰배서더 인사동
169,서울,호텔 데님 서울
170,서울,호텔 더 디자이너스 프리미어 건대
171,서울,필스테이 명동
172,서울,호텔상주
173,서울,프린세스 호텔
174,서울,베니키아 서울호텔
175,서울,알로프트 서울 명동
176,서울,역삼 스타 호텔
177,서울,E 호텔
178,서울,토요코인 서울동대문2점
179,서울,코너호텔
180,서울,크라운 파크 호텔
181,서울,호텔 크레센도 서울 매니지드 바이 아코르 & 앰배서더
182,서울,그리드인 호텔
183,서울,파티오 세븐 호텔
184,서울,호텔 미드시티 명동
185,서울,호텔 벤허
186,서울,이비스 스타일 앰배서더 서울 용산
187,서울,트리아 호텔
188,서울,호텔 더 디자이너스 종로
189,서울,웨스턴코업 동대문 레지던스
190,서울,서울숲스테이
191,서울,호텔 스카이파크 명동 1호점
192,서울,라까사호텔 서울
193,서울,라마다 서울 동대문
194,서울,보넘 1957 한옥 스테이 & 호텔
195,서울,라코지스테이 서울
196,서울,코보스 호텔
197,서울,호텔 인피니
198,서울,호텔 컬리넌 왕십리
199,서울,노원 노블레스 관광호텔
200,서울,인더시티 비즈니스 호텔
201,서울,호텔 쿠레타케소 인사동
202,서울,강남 패밀리 호텔
203,서울,에이치에비뉴 호텔 역삼점
204,서울,유원호텔
205,서울,호텔 그라모스
206,서울,목시 바이 메리어트 서울 인사동
207,서울,을지로 코업 레지던스
208,서울,하이서울유스호스텔
209,서울,K-그랜드 호스텔 동대문
210,서울,인사동 호텔썬비
211,서울,갤럭시호텔
212,서울,에버8 서비스 레지던스
213,서울,베니키아 호텔 카카오
214,서울,이비스 스타일 앰배서더 명동
215,서울,호텔 더 디자이너스 건대
216,서울,프린스 호텔
217,서울,호텔야자 고려대점
218,서울,메이커스 호텔
219,서울,버틀러 리 올 스위츠
220,서울,호텔 스테이 인
221,서울,트레블로지 동대문
222,서울,하모니 호텔
223,서울,호텔 디아망
224,서울,뜨랑블루 호텔
225,서울,호텔 루 136
226,서울,종로 아이콘 호텔
227,서울,호텔 컬리넌 건대 2
228,서울,호텔 컬리넌 대치
229,서울,ITW 호텔 이태원
230,서울,블레싱 인 서울
231,서울,스몰하우스 빅도어
232,서울,호텔브릿지
233,서울,퀸하우스
234,서울,호텔 부티크 9
235,서울,써클 호텔 서울
236,서울,더리센츠동대문호텔
237,서울,포레스타 호텔
238,서울,호텔 가온 서울 동대문
239,서울,센트럴 관광 호텔
240,서울,몽 호텔 종로
241,서울,호스텔 토미
242,서울,호텔 디 아티스트 성신여대점
243,서울,스타 호스텔 동대문
244,서울,부티크 XYM 호텔
245,서울,호텔 더 디자이너스 DDP
246,서울,호텔 더캐슬
247,서울,노보텔 앰배서더 독산
248,서울,솔라리아 니시테츠 호텔 서울
249,서울,소현당 한옥 게스트하우스
250,서울,홍대 보보 호텔
251,서울,브릭스 호텔
252,서울,호텔 컬리넌 구로
253,서울,바티카 호텔 동대문
254,서울,케이팝 호텔 서울 타워점
255,서울,리치 다이아몬드 호텔
256,서울,스위트 캐슬 아파트먼트
257,서울,아이올라 게스트하우스
258,서울,호텔 CS 에비뉴 녹번
259,서울,호텔 봄
260,서울,호텔 나포레
261,서울,파밀리아인
262,서울,이비스 앰배서더 명동
263,서울,골든호텔
264,서울,보르조미 부티크 서울 호텔
265,서울,호텔 다다
266,서울,코코모 호텔
267,서울,선릉 호텔 스타
268,서울,체이슨 엠
269,서울,호텔 세느
270,서울,호텔 디오레
271,서울,메트로 호텔
272,서울,SB 호텔
273,서울,호텔 컬리넌 건대
274,서울,BB 홍대 호스텔
275,서울,호텔 파크 힐 명동
276,서울,김치 게스트하우스 홍대
277,서울,신트라 호텔
278,서울,불광 포레스타호텔
279,서울,K 호텔
280,서울,더 그랜드 스위트 레지던스
281,서울,스텝인명동1
282,서울,다다름
283,서울,가야 라트리 호텔
284,서울,호텔릿 서울역점
285,서울,호텔스타 프리미어 역삼
286,서울,썬 시티 호스텔
287,서울,에바다 레지던스
288,서울,57 명동 호스텔
289,서울,호텔 유니크바이포레
290,서울,뉴 국제 호텔
291,서울,나비 호텔 레지던스
292,서울,호텔더캐슬 신천
293,서울,신촌 포레스타 호텔
294,서울,동대문 인
295,서울,잠실 톰지 호텔
296,서울,스테이락호텔
297,서울,타라 호텔
298,서울,잠실 포레스타2 호텔
299,서울,코지박스 게스트하우스
300,서울,호텔스타 상봉
301,서울,나비 호스텔
302,서울,호텔 스카이파크 센트럴 명동점
303,서울,남산 힐 호텔
304,서울,대영호텔 서울
305,서울,이태원 인
306,서울,케니스토리인 종로
307,서울,씨엘 호텔
308,서울,UH 스위트 아파트먼트 종각
309,서울,업플로 호스텔
310,서울,라다 호텔
311,서울,호스텔 코리아
312,서울,호스텔 하루
313,서울,호텔야자 영등포점
314,서울,베니키아 노블레스 호텔
315,서울,코업시티호텔 스테이코
316,서울,부티크호텔 K 종로
317,서울,에어 호스텔 동대문
318,서울,호텔 컬리넌 개포
319,서울,종로 아비숑 호텔
320,서울,호텔 미도 명동
321,서울,강남 올인 모텔
322,서울,티롤관광호텔
323,서울,라비타 호텔
324,서울,호텔 어반
325,서울,마리
326,서울,라비앙호텔
327,서울,야코리아 호스텔 강남점
328,서울,K게스트하우스 동대문 프리미엄
329,서울,라인호텔 명동
330,서울,킴스테이9
331,서울,디자인 호텔 다니엘 캄파넬라
332,서울,론스타 호텔
333,서울,호텔 감
334,서울,녹스 부티크 호텔
335,서울,버틀러리
336,서울,비젼 게스트하우스
337,서울,Mw호텔
338,서울,스테이 서울 레지던스
339,서울,코텔 김포공항점
340,서울,이코노미 호텔 명동 프리미어점
341,서울,호텔 프린스 서울
342,서울,강남 캠퍼스호텔
343,서울,서울 발리 관광호텔
344,서울,서울드림호텔
345,서울,wo모텔 충정로
346,서울,SM 부티크호텔
347,서울,종로 비즈 호텔
348,서울,24게스트하우스 잠실점
349,서울,서울큐브이태원
350,서울,G Stay 호텔 조커
351,서울,24 게스트하우스 동대문점
352,서울,스테이호텔
353,서울,인사동 호스텔
354,서울,서울 엘르인 호텔
355,서울,명동 멀린 호텔
356,서울,더블유호텔
357,서울,위고인 호스텔
358,서울,드래곤스테이
359,서울,한강레지던스&게스트하우스
360,서울,디에이스 호텔
361,서울,케이팝 호텔 서울역점
362,서울,다올 게스트하우스
363,서울,명동 머스트 스테이 호텔
364,서울,그리너리하우스
365,서울,역삼 호텔벤
366,서울,화웬하우스hq
367,서울,제리스 플래닛
368,서울,호텔리더스
369,서울,호텔스타 건대
370,서울,남산 포레스트 시티
371,서울,H 호텔
372,서울,올빛 카페 & 게스트하우스
373,서울,수송게스트하우스
374,서울,마인드 호텔
375,서울,킴스테이
376,서울,와우 모텔
377,서울,라비야 호텔
378,서울,강남 AN 게스트하우스
379,서울,북촌 소선재 게스트하우스
380,서울,Mrg호텔
381,서울,호텔 시애틀
382,서울,나나하우스
383,서울,호텔 더 블루
384,서울,아모렉스 호텔
385,서울,서울 로프트 아파트먼트
386,서울,호텔 컬리넌 종로
387,서울,Vip 호텔
388,서울,보보스 모텔
389,서울,루프탑호스텔
390,서울,버즈네스트 호스텔
